,etth2_std0.0,etth2_std0.5,etth2_std1.0,traffic_std0.0,traffic_std0.5,traffic_std1.0,exchange_rate_std0.0,exchange_rate_std0.5,exchange_rate_std1.0,crypto_Bitcoin_std0.0,crypto_Bitcoin_std0.5,crypto_Bitcoin_std1.0,crypto_Ether_std0.0,crypto_Ether_std0.5,crypto_Ether_std1.0
naive_martingle,0.2955,0.5452,1.2980,3.6277,3.8898,4.6584,0.0874,0.3377,1.0890,0.3657,0.6203,1.3795,0.5080,0.7552,1.4981
naive_martingle_std,0.0,0.0180,0.0695,5.4389,0.0155,0.0520,nan,0.0220,0.0939,0.0,0.0016,0.0044,0.0,0.0011,0.0060
nbeats,0.1729,0.1871,0.2132,0.1456,0.1947,0.2981,0.4741,0.3292,0.3260,0.2036,0.2466,0.2753,0.2989,0.3532,0.3931
nbeats_std,0.0425,0.0238,0.0134,0.0064,0.0106,0.0173,0.2234,0.1467,0.0207,0.0016,0.0030,0.0046,0.0042,0.0034,0.0011
deeptime,0.1289,0.1409,0.1669,0.1166,0.1346,0.1700,0.0869,0.1127,0.1461,0.1951,0.2585,0.2915,0.2777,0.3504,0.3949
deeptime_std,0.0015,0.0024,0.0034,0.0011,0.0028,0.0090,0.0001,0.0109,0.0182,0.0008,0.0010,0.0014,0.0014,0.0022,0.0042
dictregul,,,,,,,,,,,,,,,
dictregul_std,,,,,,,,,,,,,,,
maml_deeptime,,,,,,,,,,,,,,,
maml_deeptime_std,,,,,,,,,,,,,,,
omp_deeptime,0.1369,0.1569,0.2343,0.1181,0.1398,0.1892,0.0935,0.1154,0.1439,0.2355,0.2831,0.3625,0.3269,0.3757,0.4943
omp_deeptime_std,0.0024,0.0083,0.0126,0.0003,0.0088,0.0098,0.0039,0.0045,0.0074,0.0011,0.0100,0.0137,0.0078,0.0096,0.0317
mixture_experts_deeptime,0.1682,0.1772,0.2064,0.1257,0.1503,0.1949,0.2255,0.2804,0.2716,0.2284,0.2567,0.2771,,,
mixture_experts_deeptime_std,0.0123,0.0072,0.0150,0.0014,0.0046,0.0070,0.0684,0.0170,0.0438,0.0040,0.0039,0.0057,,,
inrplay_deeptime,0.1332,0.1498,0.1689,0.1152,0.1419,0.1803,0.0923,0.1137,0.1681,0.2121,0.2647,0.2968,0.3013,0.3572,0.4015
inrplay_deeptime_std,0.0018,0.0035,0.0055,0.0009,0.0062,0.0051,0.0065,0.0117,0.0700,0.0034,0.0125,0.0215,0.0153,0.0195,0.0241
